substrate	candidate_number	reaction_code	reaction_mnemonic	reaction_id	reaction_name_en	reaction_equation_id	candidate_pool_size	mapping_basis
co2	16	16_GND	GND	RXN-9952	Reverse 6-phosphogluconate dehydrogenase	CARBON__45__DIOXIDE_c + NADPH_c + RIBULOSE__45__5P_c --> CPD__45__2961_c + NADP_c	49	model candidate index + interpretable reaction mnemonic
formaldehyde	1	01_FLS	FLS	FLS	Formolase condensation	3.0 FORMALDEHYDE_c --> DIHYDROXYACETONE_c	13	model candidate index + interpretable reaction mnemonic
formaldehyde	2	02_RMP	RMP	R10-RXN	RuMP-cycle formaldehyde condensation	FORMALDEHYDE_c + RIBULOSE__45__5P_c --> CPD__45__26_c	13	model candidate index + interpretable reaction mnemonic
formaldehyde	3	03_FTK	FTK	FORMALDEHYDE-TRANSKETOLASE-RXN	Formaldehyde transketolase	FORMALDEHYDE_c + XYLULOSE__45__5__45__PHOSPHATE_c --> DIHYDROXYACETONE_c + GAP_c	13	model candidate index + interpretable reaction mnemonic
formaldehyde	8	08_FC1	FC1	RXN-2881-FORMALDEHYDE/CPD-12994//CPD-12998/WATER.40.	Formaldehyde condensation reaction I	CPD__45__12994_c + FORMALDEHYDE_c --> CPD__45__12998_c + WATER_c	13	model candidate index + interpretable reaction mnemonic
formaldehyde	9	09_FC2	FC2	RXN-2881-FORMALDEHYDE/CPD-12995//CPD-12997/WATER.40.	Formaldehyde condensation reaction II	CPD__45__12995_c + FORMALDEHYDE_c --> CPD__45__12997_c + WATER_c	13	model candidate index + interpretable reaction mnemonic
formaldehyde	10	10_FC3	FC3	RXN-2881-FORMALDEHYDE/CPD-1301//CPD-12996/WATER.39.	Formaldehyde condensation reaction III	CPD__45__1301_c + FORMALDEHYDE_c --> CPD__45__12996_c + WATER_c	13	model candidate index + interpretable reaction mnemonic
formaldehyde	11	11_H4F	H4F	RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	THF-dependent formaldehyde condensation	FORMALDEHYDE_c + THF_c --> METHYLENE__45__THF_c + WATER_c	13	model candidate index + interpretable reaction mnemonic
formaldehyde	12	12_H4M	H4M	RXN-2882	H4MPT-dependent formaldehyde condensation	FORMALDEHYDE_c + THMPT_c --> METHYLENETETRAHYDROMETHANOPTERIN_c + WATER_c	13	model candidate index + interpretable reaction mnemonic
formaldehyde	13	13_KPA	KPA	KETOPANTOALDOLASE-RXN	Ketopantoaldolase carboligation	FORMALDEHYDE_c + _2__45__KETO__45__ISOVALERATE_c --> _2__45__DEHYDROPANTOATE_c	13	model candidate index + interpretable reaction mnemonic
formate	1	01_FDR	FDR	FORMALDEHYDE-DEHYDROGENASE-RXN	NADH-dependent formate reduction	FORMATE_c + NADH_c + 2.0 PROTON_c --> FORMALDEHYDE_c + NAD_c + WATER_c	15	model candidate index + interpretable reaction mnemonic
formate	2	02_GAR	GAR	GARTRANSFORMYL2-RXN	ATP-dependent GAR formylation	ATP_c + FORMATE_c + _5__45__PHOSPHO__45__RIBOSYL__45__GLYCINEAMIDE_c --> ADP_c + PROTON_c + Pi_c + _5__45__P__45__RIBOSYL__45__N__45__FORMYLGLYCINEAMIDE_c	15	model candidate index + interpretable reaction mnemonic
formate	3	03_AIC	AIC	RXN-10066	ATP-dependent AICAR formylation	AICAR_c + ATP_c + FORMATE_c --> ADP_c + PHOSPHORIBOSYL__45__FORMAMIDO__45__CARBOXAMIDE_c + Pi_c	15	model candidate index + interpretable reaction mnemonic
formate	6	06_PFL	PFL	PYRUVFORMLY-RXN	Reverse pyruvate formate-lyase reaction	ACETYL__45__COA_c + FORMATE_c --> CO__45__A_c + PYRUVATE_c	15	model candidate index + interpretable reaction mnemonic
formate	7	07_FTL	FTL	FORMATETHFLIG-RXN-THF/ATP/FORMATE//10-FORMYL-THF/ADP/Pi.38.	Formate–tetrahydrofolate ligase	ATP_c + FORMATE_c + THF_c --> ADP_c + Pi_c + _10__45__FORMYL__45__THF_c	15	model candidate index + interpretable reaction mnemonic
formate	8	08_LAL	LAL	LACTATE-ALDOLASE-RXN	Lactate aldolase carboligation	ACETALD_c + FORMATE_c --> L__45__LACTATE_c	15	model candidate index + interpretable reaction mnemonic
formate	10	10_MFL	MFL	FORMATETHFLIG-RXN-CPD-1301/ATP/FORMATE//CPD-17116/ADP/Pi.39.	Alternative ATP-dependent formate ligation	ATP_c + CPD__45__1301_c + FORMATE_c --> ADP_c + CPD__45__17116_c + Pi_c	15	model candidate index + interpretable reaction mnemonic
methanol	1	01_MTA	MTA	RXN-8095	Methanol–MTAC methyl transfer	METOH_c + MTAC_c + PROTON_c --> METHYL__45__MTAC_c + WATER_c	8	model candidate index + interpretable reaction mnemonic
methanol	2	02_MTB	MTB	METHTRANSBARK-RXN	Methanol methyltransferase reaction	CPD__45__8_c + METOH_c --> CPD__45__9_c + WATER_c	8	model candidate index + interpretable reaction mnemonic
methanol	3	03_MCM	MCM	MTAMBARKMULTI-RXN	Methanol–coenzyme M methyl transfer	CoM_c + METOH_c --> Me__45__CoM_c + WATER_c	8	model candidate index + interpretable reaction mnemonic
methanol	4	04_ADH	ADH	RXN-11451	Acceptor-dependent methanol oxidation	Acceptor_c + METOH_c --> Donor__45__H2_c + FORMALDEHYDE_c	8	model candidate index + interpretable reaction mnemonic
methanol	5	05_MOX	MOX	METHANOL-OXIDASE-RXN	Methanol oxidase	METOH_c + OXYGEN__45__MOLECULE_c --> FORMALDEHYDE_c + HYDROGEN__45__PEROXIDE_c	8	model candidate index + interpretable reaction mnemonic
methanol	6	06_MDH	MDH	METHANOL-DEHYDROGENASE-RXN	NAD-dependent methanol dehydrogenase	METOH_c + NAD_c --> FORMALDEHYDE_c + NADH_c + PROTON_c	8	model candidate index + interpretable reaction mnemonic
methanol	8	08_CMD	CMD	RXN-2861	Cytochrome-linked methanol dehydrogenation	2.0 Cytochromes__45__CL__45__Ox_c + METOH_c --> 2.0 Cytochromes__45__CL__45__Red_c + FORMALDEHYDE_c + 2.0 PROTON_c	8	model candidate index + interpretable reaction mnemonic
